Title,Price,Fuel,Mileage,Year
Hyundai Grand i10,53 000,Essence,54 000,2021
Seat Ibiza FR,68 000,Essence,100 000,2020
Mercedes-Benz CLA AMG,169 000,Essence,20 000,2020
Seat Ibiza FR,67 000,Essence,50 000,2020
Volkswagen T-roc,85 000,Essence,87 000,2020
Mercedes-Benz GLA AMG,113 000,Essence,74 000,2016
Mercedes-Benz Classe C AMG,115 000,Essence,170 000,2014
Audi Q3 Sportback,188 000,Essence,10 000,2021
Audi Q5,215 000,Diesel,100 000,2018
Volkswagen Golf 8 R-Line,125 000,Essence,70 000,2021
Jaguar F-Pace R-DYNAMIC,185 000,Diesel,165 000,2017
