Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Automatique,hyundai,109187,SUV/4x4,Gris anthracite,Marron,2000cm³,19.12.2024,Ariana,Phase 110/2009 - 08/2013,324 765km,Hyundai,1.2013,ix35,ix35,2.0 CRDi 16V DPF 4WD,5.0,4.0,55 000DT,184ch dyn,,11cv,,Similicuir,Intégrale,Diesel
Automatique,hyundai,108400,SUV/4x4,Rouge,Noir,1497cm³,19.12.2024,Tunis,I Phase 210/2018 - 09/2023,90 500km,Hyundai,2.202,creta,Creta,1.6 l,5.0,5.0,74 000DT,123ch dyn,,6cv,,Similicuir,Traction,Essence
Automatique,hyundai,105425,SUV/4x4,Gris Shark,Beige,1600cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,11 500km,Hyundai,5.2023,tucson,Tucson,1.6 TGDi 16V 4WD DCT7,5.0,5.0,142 000DT,150ch dyn,,10cv,,Cuir intégral,Intégrale,Essence
Automatique,hyundai,108705,SUV/4x4,Beige,Noir,1599cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,40 000km,Hyundai,11.2022,tucson,Tucson,1.6 l T-GDI 7-DCT 4WD,5.0,5.0,147 000DT,180ch dyn,,10cv,,Cuir intégral,Intégrale,Essence
Automatique,hyundai,107314,SUV/4x4,Beige,Beige,1599cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,19 000km,Hyundai,6.2023,tucson,Tucson,,5.0,5.0,129 000DT,,,9cv,,Cuir intégral,Traction,Essence
Automatique,hyundai,105051,SUV/4x4,Gris anthracite,Noir,2000cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,120 000km,Hyundai,1.2022,tucson-hybride,Tucson Hybride,,5.0,5.0,138 000DT,,,10cv,,Cuir intégral,Traction,Hybride essence
Automatique,hyundai,104302,SUV/4x4,Blanc,Noir,1599cm³,19.12.2024,Tunis,IV10/2020 - Aujourd'hui,80 000km,Hyundai,8.2021,tucson-hybride,Tucson Hybride,,5.0,5.0,137 000DT,,,7cv,,Cuir intégral,Traction,Hybride diesel
Manuelle,hyundai,100062,SUV/4x4,Bleu,Noir,1599cm³,19.12.2024,Tunis,Phase 210/2020 - Aujourd'hui,30 000km,Hyundai,10.2021,kona,Kona,1.6 GDi 16V 141 Hybrid 2WD DCT6 S&S,5.0,5.0,79 000DT,,141ch dyn,6cv,105ch dyn,Tissu,Traction,Hybride essence
Manuelle,hyundai,99925,Citadine,Gris anthracite,Noir,1199cm³,19.12.2024,Tunis,II phase 111/2020 - 11/2023,30 000km,Hyundai,8.2022,grand-i10,Grand i10,,5.0,5.0,53 000DT,,,5cv,,Tissu,Traction,Essence
Automatique,hyundai,99645,Citadine,Vert,Noir,1199cm³,19.12.2024,Tunis,II phase 111/2020 - 11/2023,54 000km,Hyundai,4.2021,grand-i10,Grand i10,,5.0,5.0,53 000DT,,,5cv,,Tissu,Traction,Essence
