Car ID,Brand,Model,Price,Kilométrage,Mise en circulation,Carrosserie,Boite vitesse,Cylindrée,Nombre de portes,Puissance fiscale,Transmission,Énergie
101751,kia,sportage,119 000DT,40 000km,4.202,SUV/4x4,Automatique,1600cm³,5.0,8cv,Traction,Essence
100281,kia,sportage,143 000DT,23 000km,6.2022,SUV/4x4,Automatique,1599cm³,5.0,10cv,Traction,Essence
99793,kia,sportage,119 000DT,120 000km,9.2021,SUV/4x4,Automatique,1599cm³,5.0,6cv,Traction,Hybride rechargeable diesel
109435,kia,cerato-koup,32 500DT,205 000km,12.201,Coupé,Manuelle,1600cm³,5.0,7cv,Traction,Essence
108916,kia,picanto,46 500DT,28 000km,12.2021,Citadine,Automatique,1200cm³,5.0,4cv,Traction,Essence
108055,kia,rio-5p,62 500DT,68 000km,11.2021,Citadine,Manuelle,1200cm³,5.0,5cv,Traction,Essence
106596,kia,sportage,97 000DT,124 000km,5.2019,Autres,Automatique,1600cm³,5.0,8cv,Traction,Diesel
105468,kia,sportage,149 000DT,40 000km,7.2023,SUV/4x4,Automatique,1999cm³,4.0,10cv,Intégrale,Hybride essence
109076,kia,sportage,122 000DT,30 000km,3.2022,Compacte,Automatique,1000cm³,4.0,10cv,Traction,Essence
107288,kia,rio-5p,51 500DT,84 000km,8.2021,Compacte,Manuelle,1198cm³,5.0,5cv,Traction,Essence
106747,kia,ceed,52 000DT,178 000km,1.2019,Compacte,Manuelle,1398cm³,5.0,6cv,Traction,Essence
108510,kia,rio-5p,49 800DT,124 000km,9.2021,Compacte,Manuelle,1198cm³,5.0,5cv,Traction,Essence
108188,kia,sorento,72 000DT,352 000km,5.2015,SUV/4x4,Automatique,2200cm³,5.0,12cv,Traction,Diesel
108686,kia,rio-5p,65 000DT,72 000km,8.2021,Compacte,Manuelle,1198cm³,5.0,5cv,Traction,Essence
107365,kia,sportage,75 000DT,96 000km,6.2018,SUV/4x4,Automatique,1600cm³,5.0,8cv,Traction,Essence
109422,kia,cerato,38 500DT,250 000km,6.2014,Berline,Automatique,1599cm³,5.0,8cv,Intégrale,Essence
108224,kia,sportage,91 000DT,139 000km,5.2018,SUV/4x4,Automatique,1685cm³,5.0,7cv,Traction,Diesel
109071,kia,sportage,92 000DT,155 000km,1.2017,SUV/4x4,Automatique,2000cm³,5.0,10cv,Traction,Diesel
100885,kia,sportage,118 000DT,140 000km,1.2018,SUV/4x4,Automatique,2000cm³,5.0,10cv,Traction,Diesel
108102,kia,sportage,139 000DT,37 000km,10.2022,SUV/4x4,Automatique,1599cm³,5.0,10cv,Intégrale,Essence
109278,kia,picanto,31 500DT,73 000km,5.2012,Berline,Automatique,1200cm³,5.0,5cv,Traction,Essence
108727,kia,sportage,108 000DT,110 000km,12.202,SUV/4x4,Automatique,2000cm³,4.0,11cv,Intégrale,Essence
108390,kia,rio-5p,62 500DT,107 000km,5.2021,Compacte,Manuelle,1200cm³,4.0,5cv,Traction,Essence
107190,kia,sportage,55 000DT,379 000km,3.2015,SUV/4x4,Manuelle,1700cm³,4.0,7cv,Traction,Diesel
108898,kia,rio-5p,49 000DT,130 000km,2.2021,Coupé,Manuelle,1200cm³,4.0,5cv,Propulsion,Essence
109303,kia,rio,37 500DT,126 000km,1.2018,Berline,Manuelle,1200cm³,4.0,5cv,Traction,Essence
109363,kia,picanto,41 000DT,167 000km,4.2018,Citadine,Automatique,1248cm³,4.0,4cv,Traction,Essence
109179,kia,picanto,39 900DT,109 000km,5.2018,Citadine,Automatique,1400cm³,5.0,5cv,Traction,Essence
109325,kia,stonic,66 000DT,90 000km,1.202,Citadine,Manuelle,998cm³,5.0,6cv,Intégrale,Essence
109173,kia,rio-5p,62 000DT,51 000km,5.2021,Citadine,Manuelle,1200cm³,5.0,5cv,Traction,Essence
107100,kia,sportage-hybride,160 000DT,3 583km,4.2024,SUV/4x4,Automatique,1598cm³,5.0,10cv,Traction,Hybride essence
109277,kia,rio-5p,59 000DT,40 000km,2.2021,Citadine,Manuelle,1199cm³,5.0,5cv,Traction,Essence
109059,kia,rio-5p,53 750DT,110 000km,6.202,Coupé,Manuelle,1248cm³,5.0,5cv,Traction,Essence
107619,kia,rio-5p,47 000DT,69 000km,12.2019,Citadine,Manuelle,1197cm³,5.0,5cv,Traction,Essence
107860,kia,rio-5p,49 900DT,103 000km,11.2018,Citadine,Manuelle,1199cm³,5.0,5cv,Traction,Essence
108415,kia,quoris,95 000DT,134 000km,12.2014,Berline,Automatique,3778cm³,5.0,20cv,Propulsion,Essence
108259,kia,cerato-koup,30 000DT,204 000km,12.201,Coupé,Manuelle,1591cm³,3.0,7cv,Traction,Essence
108929,kia,rio,52 000DT,90 500km,1.202,Berline,Manuelle,1193cm³,4.0,6cv,Traction,Essence
109162,kia,picanto,35 000DT,107 000km,6.2014,Compacte,Automatique,1000cm³,4.0,5cv,Traction,Essence
